"source","category_code","category_path","unmapped_products_count"
wolt,ВОДА И НАПИТКИ🥤 / Лимонады,ВОДА И НАПИТКИ🥤 / Лимонады,5387
wolt,СНЭКИ 🥜 / Чипсы,СНЭКИ 🥜 / Чипсы,5352
wolt,СНЭКИ🍟 / Чипсы,СНЭКИ🍟 / Чипсы,5351
wolt,ЗАМОРОЖЕННЫЕ ПРОДУКТЫ 🧊 / Мороженое,ЗАМОРОЖЕННЫЕ ПРОДУКТЫ 🧊 / Мороженое,5214
wolt,Сладости и снеки / Восточные сладости,Сладости и снеки / Восточные сладости,5197
wolt,"МОЛОЧНЫЕ ПРОДУКТЫ 🥛 / Питьевые йогурты, молочные коктейли","МОЛОЧНЫЕ ПРОДУКТЫ 🥛 / Питьевые йогурты, молочные коктейли",5073
wolt,"Дом, дача, авто / Колготки, чулки, носки","Дом, дача, авто / Колготки, чулки, носки",4952
wolt,"Уходовая косметика / Душ, Ванна и Мыло","Уходовая косметика / Душ, Ванна и Мыло",4906
wolt,НАПИТКИ 🥤,НАПИТКИ 🥤,4905
kaspi_nonfood,Meat grinders,Meat grinders,4901
wolt,МОЛОЧНЫЕ ПРОДУКТЫ 🥛,МОЛОЧНЫЕ ПРОДУКТЫ 🥛,4896
kaspi_nonfood,Microwave ovens,Microwave ovens,4816
wolt,ТАБАЧНЫЕ ИЗДЕЛИЯ,ТАБАЧНЫЕ ИЗДЕЛИЯ,4783
wolt,СУВЕНИРНАЯ ПРОДУКЦИЯ / БРЕЛКИ,СУВЕНИРНАЯ ПРОДУКЦИЯ / БРЕЛКИ,4769
kaspi_nonfood,Wallpaper glue,Wallpaper glue,4495
kaspi_nonfood,Eyeglasses,Eyeglasses,4323
wolt,"Дом и офис / Игрушки, игры и книги","Дом и офис / Игрушки, игры и книги",4243
wolt,"Мясо и птица / Паштеты, закуски","Мясо и птица / Паштеты, закуски",4076
wolt,СЛАДОСТИ 🍬 / Шоколад плиточный,СЛАДОСТИ 🍬 / Шоколад плиточный,3994
wolt,Мясо и птица / Сосиски и сардельки,Мясо и птица / Сосиски и сардельки,3993
wolt,"ТОВАРЫ ДЛЯ БАНИ🧖 / МАСЛА, СОЛИ, БРИКЕТЫ","ТОВАРЫ ДЛЯ БАНИ🧖 / МАСЛА, СОЛИ, БРИКЕТЫ",3986
kaspi_nonfood,Freezers,Freezers,3934
kaspi_nonfood,Kitcheners,Kitcheners,3915
kaspi_nonfood,Women costumes,Одежда > Женщинам > Женские карнавальные костюмы,3902
wolt,Бакалея / Зерновые,Бакалея / Зерновые,3880
wolt,ЛЕЧЕНИЕ ЛОР ЗАБОЛЕВАНИЙ,ЛЕЧЕНИЕ ЛОР ЗАБОЛЕВАНИЙ,3850
wolt,ЗАБОЛЕВАНИЯ ОПОРНО-ДВИГАТЕЛЬНОГО АППАРАТА 🏃🏻‍♂️ ,ЗАБОЛЕВАНИЯ ОПОРНО-ДВИГАТЕЛЬНОГО АППАРАТА 🏃🏻‍♂️ ,3850
wolt,ЗАБОЛЕВАНИЯ СЕРДЕЧНО-СОСУДИСТОЙ СИСТЕМЫ 💙,ЗАБОЛЕВАНИЯ СЕРДЕЧНО-СОСУДИСТОЙ СИСТЕМЫ 💙,3850
wolt,ВИТАМИНЫ И МИНЕРАЛЫ 💊,ВИТАМИНЫ И МИНЕРАЛЫ 💊,3850
wolt,ЗАБОЛЕВАНИЯ ЖКТ И ПЕЧЕНИ 🧪,ЗАБОЛЕВАНИЯ ЖКТ И ПЕЧЕНИ 🧪,3850
wolt,ОБЕЗБАЛИВАЮЩИЕ И СПАЗМОЛИТИЧЕСКИЕ СРЕДСТВА 💊,ОБЕЗБАЛИВАЮЩИЕ И СПАЗМОЛИТИЧЕСКИЕ СРЕДСТВА 💊,3850
wolt,НЕВРОЛОГИЯ И ПСИХИАТРИЯ ,НЕВРОЛОГИЯ И ПСИХИАТРИЯ ,3850
wolt,СРЕДСТВА ОТ ГРИППА И ПРОСТУДЫ,СРЕДСТВА ОТ ГРИППА И ПРОСТУДЫ,3850
wolt,ДЕРМАТОЛОГИЧЕСКИЕ СРЕДСТВА 🚿,ДЕРМАТОЛОГИЧЕСКИЕ СРЕДСТВА 🚿,3850
wolt,МЕДИЦИНСКИЕ ИЗДЕЛИЯ И ПРИБОРЫ 💉,МЕДИЦИНСКИЕ ИЗДЕЛИЯ И ПРИБОРЫ 💉,3845
wolt,АКУШЕРСТВО И ГИНЕКОЛОГИЯ ,АКУШЕРСТВО И ГИНЕКОЛОГИЯ ,3819
